Datetime,AAPL,IBM,MSFT,TSLA
2024-09-12 10:28:00-04:00,222.13499450683594,210.41000366210938,421.9100036621094,229.69000244140625
2024-09-12 10:29:00-04:00,222.07000732421875,210.0850067138672,421.5799865722656,229.39999389648438
2024-09-12 10:30:00-04:00,222.0399932861328,210.07000732421875,421.6400146484375,229.70199584960938
2024-09-12 10:31:00-04:00,222.0800018310547,210.00999450683594,421.6195068359375,229.28329467773438
2024-09-12 10:32:00-04:00,222.10000610351562,209.92999267578125,421.7799987792969,229.1199951171875
2024-09-12 10:33:00-04:00,222.18690490722656,209.6999969482422,421.8999938964844,229.1540069580078
2024-09-12 10:34:00-04:00,222.27999877929688,209.75999450683594,422.1099853515625,228.98500061035156
2024-09-12 10:35:00-04:00,221.44000244140625,209.59500122070312,420.6191101074219,227.21969604492188
2024-09-12 10:36:00-04:00,221.47000122070312,209.5601043701172,420.6499938964844,226.73240661621094
2024-09-12 10:37:00-04:00,221.7100067138672,209.5,421.010009765625,227.31500244140625
2024-09-12 10:38:00-04:00,221.6999969482422,209.48500061035156,421.42498779296875,227.72889709472656
2024-09-12 10:39:00-04:00,221.52999877929688,209.4499969482422,421.04998779296875,227.27999877929688
2024-09-12 10:40:00-04:00,221.75,209.36000061035156,421.3399963378906,227.6280059814453
2024-09-12 10:41:00-04:00,221.55999755859375,209.24000549316406,420.9798889160156,227.3000030517578
2024-09-12 10:42:00-04:00,221.75,209.39999389648438,421.0350036621094,227.92010498046875
2024-09-12 10:43:00-04:00,221.88169860839844,209.1699981689453,421.1499938964844,227.96009826660156
2024-09-12 10:44:00-04:00,221.84500122070312,209.11000061035156,421.04998779296875,227.94000244140625
2024-09-12 10:45:00-04:00,221.99000549316406,209.1300048828125,421.1099853515625,227.48699951171875
2024-09-12 10:46:00-04:00,221.9499969482422,209.32000732421875,421.07000732421875,226.97000122070312
2024-09-12 10:47:00-04:00,222.0399932861328,209.43499755859375,421.04998779296875,227.00010681152344
2024-09-12 10:48:00-04:00,221.97999572753906,209.52000427246094,421.0249938964844,226.8000030517578
2024-09-12 10:49:00-04:00,222.04879760742188,209.46749877929688,421.3999938964844,227.24000549316406
2024-09-12 10:50:00-04:00,222.1699981689453,209.4949951171875,421.4049987792969,227.54359436035156
2024-09-12 10:51:00-04:00,222.0749969482422,209.47999572753906,421.364990234375,227.37440490722656
